"date","time","businesses","offers","eligible","exclusions"
"2026-09-14","17:00","3","3","The Woodville Hotel (PD-2026-0059); Union Hotel (UNION-PARMI-PINT); Grand Junction Tavern (PD-2026-0062)","{""outside_area"":24,""service_hours_unknown"":3,""not_dinner"":11,""source_conflict"":2,""service_finished"":1,""wrong_weekday"":1}"
"2026-09-14","18:00","3","3","The Woodville Hotel (PD-2026-0059); Union Hotel (UNION-PARMI-PINT); Grand Junction Tavern (PD-2026-0062)","{""outside_area"":24,""service_hours_unknown"":3,""not_dinner"":11,""source_conflict"":2,""service_finished"":1,""wrong_weekday"":1}"
"2026-09-14","19:00","3","3","The Woodville Hotel (PD-2026-0059); Union Hotel (UNION-PARMI-PINT); Grand Junction Tavern (PD-2026-0062)","{""outside_area"":24,""service_hours_unknown"":3,""not_dinner"":11,""source_conflict"":2,""service_finished"":1,""wrong_weekday"":1}"
"2026-09-14","20:00","3","3","The Woodville Hotel (PD-2026-0059); Union Hotel (UNION-PARMI-PINT); Grand Junction Tavern (PD-2026-0062)","{""outside_area"":24,""service_hours_unknown"":3,""not_dinner"":11,""source_conflict"":2,""service_finished"":1,""wrong_weekday"":1}"
"2026-09-15","17:00","1","1","Union Hotel (UNION-PARMI-PINT)","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":3,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-15","18:00","1","1","Union Hotel (UNION-PARMI-PINT)","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":3,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-15","19:00","1","1","Union Hotel (UNION-PARMI-PINT)","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":3,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-15","20:00","1","1","Union Hotel (UNION-PARMI-PINT)","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":3,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-16","17:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-16","18:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-16","19:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-16","20:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-17","17:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-17","18:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-17","19:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-17","20:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2,""service_finished"":1}"
"2026-09-18","17:00","1","1","Union Hotel (UNION-FRIDAY-STEAK)","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2}"
"2026-09-18","18:00","1","1","Union Hotel (UNION-FRIDAY-STEAK)","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2}"
"2026-09-18","19:00","1","1","Union Hotel (UNION-FRIDAY-STEAK)","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2}"
"2026-09-18","20:00","1","1","Union Hotel (UNION-FRIDAY-STEAK)","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":4,""not_dinner"":11,""source_conflict"":2}"
"2026-09-19","17:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":5,""not_dinner"":11,""source_conflict"":2}"
"2026-09-19","18:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":5,""not_dinner"":11,""source_conflict"":2}"
"2026-09-19","19:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":5,""not_dinner"":11,""source_conflict"":2}"
"2026-09-19","20:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":5,""not_dinner"":11,""source_conflict"":2}"
"2026-09-20","17:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":5,""not_dinner"":11,""source_conflict"":2}"
"2026-09-20","18:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":5,""not_dinner"":11,""source_conflict"":2}"
"2026-09-20","19:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":5,""not_dinner"":11,""source_conflict"":2}"
"2026-09-20","20:00","0","0","","{""outside_area"":24,""service_hours_unknown"":3,""wrong_weekday"":5,""not_dinner"":11,""source_conflict"":2}"
